RCtype,Par,ParFac,RC1,RC2,RC1fac,RC2fac,Group,Num,Item,Participant,Main,V1,V2,V3,V4,Matching,regionExp_response_1.rt,regionExp_response_2.rt,regionExp_response_3.rt,regionExp_response_4.rt,regionExp_response_5.rt,regionExp_response_6.rt,regionExp_response_7.rt,regionExp_response_8.rt,regionExp_response_9.rt,regionExp_response_10.rt,regionExp_response_11.rt,regionExp_response_12.rt,Q_Exp_response.keys,Q_Exp_response.rt,log_R1,log_R2,log_R3,log_R4,log_R5,log_R6,log_R7,log_R8,log_R9,log_R10,log_R11,log_R12,log_R34,log_R89,log_R8910,CORR,OO%COR,OS%COR,SO%COR,SS%COR,T%COR,OO-FP,OS-FP,SO-FP,SS-FP,T-FP,adj-OO,adj-OS,adj-SO,adj-SS,adj-%COR,adj-OO-FP,adj-OS-FP,adj-SO-FP,adj-SS-FP,adj-T-FP,dprimeOO,dprimeOS,dprimeSO,dprimeSS,dprimeT,dprimeSS-OS,dprimeOO-SO,dprimeSS-SO,dprimeOO-OS
OS,NP,-0.5,O,S,-0.5,0.5,5,20,25,54,main,0,0,0,1,match,0.194535017,0.158035994,0.195474863,0.160462856,0.212357044,0.196003914,0.210566998,0.344280958,0.344248056,0.346574068,0.378603935,0.356502056,y,0.180451155,2.288997787,2.198756012,2.291090917,2.205374518,2.327066671,2.292264744,2.323390306,2.536913003,2.536871496,2.539796064,2.578185123,2.552062039,2.551374013,2.837922246,3.014983602,1,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0,-0.506694206,0.506694206,1.683242467,0.378236853,2.189936673,-0.506694206,1.176548261,0.506694206
OS,NP,-0.5,O,S,-0.5,0.5,13,52,65,54,main,0,0,0,1,match,0.210908175,0.140702963,0.157279015,0.294327974,0.245852947,0.212785006,0.20987606,0.361449003,0.329959154,0.395776033,0.444967031,0.456918001,y,0.848669052,2.324093414,2.148303243,2.196670781,2.468831541,2.390675418,2.327941022,2.321962903,2.558047031,2.518460181,2.597449491,2.648327834,2.659838268,2.654760654,2.839734499,3.036303128,1,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0,-0.506694206,0.506694206,1.683242467,0.378236853,2.189936673,-0.506694206,1.176548261,0.506694206
SO,NP,-0.5,S,O,0.5,-0.5,4,15,19,1,main,0,0,0,1,mismatch2,0.642275095,0.562615871,0.411425829,0.39736104,0.495600939,0.363455057,3.643621206,0.579553127,1.934393883,0.481014967,4.010972977,0.474672079,n,3.546909809,2.807721082,2.750211979,2.614291553,2.599185284,2.695132121,2.560450716,3.561533221,2.763093253,3.28654491,2.68215859,3.603249736,2.676393687,2.907834092,3.400356119,3.476391313,1,0.7,0.6,0.9,0.3,0.625,0.3,0.4,0.1,0.7,0.375,0.7,0.6,0.9,0.3,0.625,0.3,0.4,0.1,0.7,0.375,1.048801025,0.506694206,2.563103131,-1.048801025,0.637278728,-1.555495232,-1.514302106,-3.611904157,0.542106819
SO,NP,-0.5,S,O,0.5,-0.5,16,63,79,1,main,0,0,0,1,mismatch2,0.31192112,2.402998924,1.0648489,0.579093933,0.378319979,0.330024004,2.270117044,0.697612047,1.81810689,0.531157017,1.031111002,0.591322899,n,4.111116886,2.494044782,3.380753576,3.027287987,2.762749015,2.577859277,2.518545529,3.356048249,2.843613972,3.259619413,2.725222923,3.013305421,2.771824697,3.215886711,3.400662119,3.483854773,1,0.7,0.6,0.9,0.3,0.625,0.3,0.4,0.1,0.7,0.375,0.7,0.6,0.9,0.3,0.625,0.3,0.4,0.1,0.7,0.375,1.048801025,0.506694206,2.563103131,-1.048801025,0.637278728,-1.555495232,-1.514302106,-3.611904157,0.542106819
SO,NP,-0.5,S,O,0.5,-0.5,12,47,59,1,main,0,0,0,1,mismatch2,0.41200304,0.461806059,0.847359896,1.91830802,0.427650928,0.31376791,3.122874022,0.880861998,1.935134888,0.413276911,2.907247782,0.909747124,n,3.21829915,2.614900421,2.664459627,2.928067906,3.282918342,2.631089419,2.496608525,3.494554465,2.944907874,3.286711243,2.616241143,3.463482048,2.958920691,3.441800032,3.44963217,3.509104869,1,0.7,0.6,0.9,0.3,0.625,0.3,0.4,0.1,0.7,0.375,0.7,0.6,0.9,0.3,0.625,0.3,0.4,0.1,0.7,0.375,1.048801025,0.506694206,2.563103131,-1.048801025,0.637278728,-1.555495232,-1.514302106,-3.611904157,0.542106819
SO,NP,-0.5,S,O,0.5,-0.5,18,71,89,1,main,0,1,0,0,match,0.729645967,0.577754974,0.562070131,0.865393877,1.163892984,0.614199877,0.646138906,0.394752026,0.763695955,2.455350876,2.169414043,0.43621397,y,2.468883038,2.863112186,2.761743693,2.749790507,2.937213818,3.06591305,2.788309725,2.810325892,2.596324368,2.88292049,3.390113563,3.336342447,2.63969957,3.154565167,3.063876537,3.557963976,1,0.7,0.6,0.9,0.3,0.625,0.3,0.4,0.1,0.7,0.375,0.7,0.6,0.9,0.3,0.625,0.3,0.4,0.1,0.7,0.375,1.048801025,0.506694206,2.563103131,-1.048801025,0.637278728,-1.555495232,-1.514302106,-3.611904157,0.542106819
SO,NP,-0.5,S,O,0.5,-0.5,14,55,69,1,main,0,1,0,0,match,0.461987019,0.997773886,1.885183096,2.036659002,0.678105116,1.685810089,0.661998987,1.284067869,0.545580864,1.267636061,4.093491077,0.356905937,y,2.289274216,2.664629773,2.999032133,3.275353537,3.308918321,2.831297021,3.226808649,2.820857325,3.108587979,2.736859129,3.102994585,3.612093848,2.552553772,3.593490104,3.262367719,3.49098114,1,0.7,0.6,0.9,0.3,0.625,0.3,0.4,0.1,0.7,0.375,0.7,0.6,0.9,0.3,0.625,0.3,0.4,0.1,0.7,0.375,1.048801025,0.506694206,2.563103131,-1.048801025,0.637278728,-1.555495232,-1.514302106,-3.611904157,0.542106819
SO,NP,-0.5,S,O,0.5,-0.5,20,79,99,1,main,0,0,0,1,mismatch2,0.361677885,0.61205101,1.266005039,0.647537947,0.646378994,1.451534987,1.164753914,0.46348381,0.462366104,0.999346018,2.486609936,0.620608091,n,3.186542988,2.558321954,2.786787619,3.102435434,2.811265224,2.810487234,3.161827508,3.066234179,2.666034568,2.664985989,2.999715886,3.395607665,2.792817433,3.281838223,2.966540591,3.284474935,1,0.7,0.6,0.9,0.3,0.625,0.3,0.4,0.1,0.7,0.375,0.7,0.6,0.9,0.3,0.625,0.3,0.4,0.1,0.7,0.375,1.048801025,0.506694206,2.563103131,-1.048801025,0.637278728,-1.555495232,-1.514302106,-3.611904157,0.542106819
SO,NP,-0.5,S,O,0.5,-0.5,6,23,29,1,main,0,1,0,0,match,0.763312817,0.81328392,0.41242218,1.800503969,2.217535973,0.396570921,0.427961826,0.31320405,0.41130209,2.33891201,1.550868988,0.524419069,y,3.358763933,2.882702555,2.910242186,2.615342014,3.255394083,3.345870674,2.598320866,2.631405032,2.495827369,2.614160916,3.369013884,3.190575112,2.719678475,3.344966921,2.86004207,3.486206281,1,0.7,0.6,0.9,0.3,0.625,0.3,0.4,0.1,0.7,0.375,0.7,0.6,0.9,0.3,0.625,0.3,0.4,0.1,0.7,0.375,1.048801025,0.506694206,2.563103131,-1.048801025,0.637278728,-1.555495232,-1.514302106,-3.611904157,0.542106819
SO,NP,-0.5,S,O,0.5,-0.5,10,39,49,1,main,0,1,0,0,match,0.358025074,0.361557961,0.428271055,0.614407063,1.113066912,0.363718987,0.46113205,1.280221939,0.797141075,0.480736971,0.330085039,0.892891884,y,2.321718931,2.553913443,2.558177929,2.631718723,2.7884562,3.046521273,2.560765973,2.663825308,3.107285265,2.901535188,2.681907523,2.518625841,2.950798875,3.018150259,3.317512395,3.407917515,1,0.7,0.6,0.9,0.3,0.625,0.3,0.4,0.1,0.7,0.375,0.7,0.6,0.9,0.3,0.625,0.3,0.4,0.1,0.7,0.375,1.048801025,0.506694206,2.563103131,-1.048801025,0.637278728,-1.555495232,-1.514302106,-3.611904157,0.542106819
